country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3,0,0,0,0,0,48.9,0,0,0,0,
Costa Rica,0,0,47.5,0,0,0,0,34.4,0,0,46.7,45.3,46.6,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7
Cote d'Ivoire,0,0,0,0,0,0,45.5,38,40.5,36.9,0,0,0,39.4,0,0,40.6,0,0,39,0,0,0,41.3,0,0,0,0,0,43.2,0,0,0,0,0,0,41.5,
Croatia,0,0,0,0,0,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6,32.4,32.3,32.5,32,32.1,30.8,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,25.8,0,0,0,0,0,0,0,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,45.1,44.1,0,0,
Dominican Republic,0,0,0,0,0,0,0,47.8,0,0,50.5,0,0,51.4,0,0,0,47.4,48.9,0,0,52,50.4,50,52,52,49.9,51.8,48.6,47.8,48.5,46.9,47.4,45.6,47,44.1,44.7,45.3
Ecuador,0,0,0,0,0,0,0,0,50.5,0,0,0,0,0,0,53.4,0,0,0,49.7,58.6,56.4,0,0,53.4,53.9,53.1,52.2,53.3,49.7,48.4,48.7,45.9,46.1,46.9,45,46,45
Egypt,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,30.1,0,0,0,32.8,0,0,0,0,31.8,0,0,0,31.1,0,31.5,0,29.8,0,0,31.8,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,49.9,51,0,54.5,52.2,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,0,0,0,30,0,0,0,0,29.8,0,0,0,0,0,33.2,0,0,0,0,39.1,
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1,0,0,0,0,0,40.4,0,0,0,0,36.4,0,0,
