country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,32.7,33.6,0,0,32.2,0,30.8,0,0,0,0,0,34,
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,40.3,0,0,0,37.8,0,0,0,0,
Thailand,0,0,45.2,0,0,0,0,0,0,43.8,0,45.3,0,47.9,0,43.5,0,42.9,0,41.5,43.1,42.8,0,41.9,0,42.5,0,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,0,0,
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,0,0,0,0,0,27.8,0,0,0,0,0,0,28.7,0,
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,46,0,0,0,43.1,
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,42.6,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tunisia,0,0,0,0,0,0,43.4,0,0,0,0,40.2,0,0,0,0,41.7,0,0,0,0,40.8,0,0,0,0,37.7,0,0,0,0,35.8,0,0,0,0,0,
Turkey,0,0,0,0,0,0,0,0,43.5,0,0,0,0,0,0,41.3,0,0,0,0,0,0,0,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,0,0,0,0,0,
Uganda,0,0,0,0,0,0,0,0,0,0,44.4,0,0,41.4,0,0,0,39,0,0,43,0,0,45.2,0,0,42.9,0,0,0,44.2,0,0,41,0,0,0,
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3,35.2,0,0,0,0,0,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34.3,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34,33.2,
United States,34.6,0,0,0,0,0,0,37.5,0,0,0,0,38.2,0,0,40.2,0,0,40.8,0,0,40.4,0,0,0,40.5,0,0,41.1,0,0,40.4,0,0,41,0,0,41.5
Uruguay,0,0,43.6,0,0,0,0,0,0,0,42.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,46.4,45.1,45.6,44.5,42.2,39.9,40.5,40.1,40.2,39.7
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7,0,36.1,0,33,35.3,0,0,0,0,0,0,0,0,0,0,0,0,
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6,0,0,0,0,0,
Venezuela,0,0,55.6,0,0,0,0,0,53.4,0,45.3,0,0,42.5,0,0,47.8,0,0,49.8,48.3,0,48.2,50.6,50.4,49.8,52.4,46.9,0,0,0,0,0,0,0,0,0,
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,0,0,0,0,0,35.4,0,0,0,37,0,36.8,0,35.8,0,35.6,0,39.3,0,35.6,0,34.8,0,
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,34.7,0,0,0,0,0,0,0,0,36.7,0,
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,52.6,0,0,48.3,0,49.1,0,0,0,42.1,0,54.3,0,54.6,0,0,0,55.6,0,0,0,0,57.1,
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2,0,0,0,0,
