CO2 per capita,1751,1755,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4120390313,0.5461326978,0.5421356448,0.6708503333,0.8602849167,1.8215582603,1.4673812175,1.5628640763,2.5120869817,5.7073884738,9.0744490513,15.6148956641,19.4902471279,7.0440788571,6.3908004528,5.5473976179,4.8399870934,6.2311178248,10.1939882839,5.7693224622,6.6238981902,6.9660064556,5.7710031904,2.0362248676,1.5269221748,4.2633799883,1.2440012588,2.1988675832,3.8000020321,3.8632971278,4.3300267674,4.5636598637,4.5986622074,4.8337138141,4.6743368285,4.5975570254,4.7211747754,4.6590427785,4.7007177336,4.5800804353,4.664325286,4.4974614728,4.5842381172,4.438377803,4.353775869,4.5089246898,4.7563104737,4.9132040851,4.8937826716,5.0067489092,5.1628168577,5.2754150313,5.6794454189,5.7866456243,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35340698,0.281115565,0.5369196181,0.4062006319,0.2690321625,0.3843714459,0.417177069,0.5179032776,0.5692898047,0.5606485794,0.4898731199,0.534919566,0.6435525097,0.4414376021,0.5116629044,0.5565217391,0.545045045,0.6963641919,0.7036840866,1.0642747832,1.0248894711,1.2021763129,0.9021871203,1.3039301736,1.4019911712,1.2870646766,1.32666928,1.1006975269,0.8603402709,0.6066536997,0.2666587055,0.2961571574,0.4300046125,0.6653876538,0.609766828,0.779675491,0.8706775179,1.090809628,1.0856986548,1.0577982226,1.2205502356,1.1300301365,1.1336553945,1.0741705896,1.0565737925,1.0572488308,1.0491959122,1.1105137395,1.0740825923,1.1395424837,1.2399802323,1.1923880307,1.2438977879,1.1207801068,0.968985789,0.9218017033,0.9471667675,0.9230887861,0.888910548,0.8762616584,0.9114916573,1.0675987817,0.9190217283,1.7462827014,1.9989667004,2.0222162989,1.9297128422,1.9798043167,2.0916379313,2.3000344161,2.428995267,2.2166800766,2.4146132548,2.3665260297,2.4414706677,2.5210217794,2.3149374405,2.5366985701,2.6399059086,2.7907626725,2.8563159086,2.9680700408,3.2740297927,3.4493640688,3.648298969,3.6362023428,3.7291452595,3.7249587987,3.6398499094,3.7662176024,3.7466573791,3.7589274527,3.9944344303,3.8650425532,3.5723654367,3.565892649,3.5725379129,3.5623383117,3.313792955,3.3820081825,3.6754846639,3.8280910948,3.6374842032,3.4495989403,3.5357513512,3.6206395366,3.490030345,3.5833257409,3.515586597,3.6615633588,3.7705707511,3.8096775204,3.9811413083,3.8196937947,3.5552853534,3.2730670833,3.5029022246,4.0728438009,4.1606113954,4.4644920136,4.5823942685,4.7851699825,4.4835644599,4.4663380677,4.676319501,4.7749824851
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1744165599,0.8594498789,0.9014731118,1.0829907879,0.8218310092,1.0456687367,1.0956007326,0.9894442029,1.1264270514,1.1553227369,0.9942067042,1.1201675688,1.1900517162,1.4219608861,1.4273255145,1.6483523037,1.8041062172,1.4108145739,1.3648884416,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8680128768,7.2348913688,10.0269094521,10.6348113919,29.6179488417,29.8361230572,25.2369934296,24.4030148953,22.9757779457,22.1854263411,21.8051659865,21.7431296799,19.2144532615,19.0294204111,24.7366263806,24.2160461079,23.8382172608,23.2774193548,22.8042189151,22.5091422763,22.1332995817,22.6209322779,21.6818603946,21.5297840143,21.5931080679,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.2101558572,0.3786527984,0.2573564882,0.2790968343,0.1790412486,0.2706461275,0.4329811477,0.5432098765,0.431372549,0.3666666667,0.3387793427,0.4137313433,0.4109562524,0.4912379876,0.4890230516,0.442191391,0.48280629,0.5348370927,0.4694471387,0.6843754897,1.0047033834,0.7789040693,0.8573253833,0.9919629478,1.0070422535,1.0972327044,1.0541165025,1.0708994709,1.2042974079,1.1344584161,1.1423666989,1.2551105549,1.2688861739,1.1899620076,1.2852233677,1.3278420039,1.2791181758,1.3885480573,1.5423759839,1.5685902646,2.7198609997,3.0164251208,2.9619047619,2.8817590691,2.9279439094,3.010989011,3.5375841129,3.7528471044,3.9951552696,3.4043945769,3.9884952381,4.2785925926,4.4627762283,4.6477909147,4.9659436448,4.3873130825,3.8923646149,4.197037037,4.5622019078,4.1891649015,4.8060843598,4.2427516328,4.3705298409,4.3649874203,4.6553245117,4.7543889169,4.5966358839,4.6728075846,4.1732762267,3.7010631645,3.4082032256,2.9970379449,3.0942899123,3.2569245463,3.399431308,3.7505446623,3.9910069291,4.2214101252,4.0639242951,4.614498159,4.1269525703,4.8619040923,5.0928481807,4.839229777,4.6840425047,4.4283845356,4.743020248,5.0204979326,4.9841002376,4.758008166,6.6994450358,7.0342384907,7.0020818518,6.756088593,7.5400806592,7.6808571825,7.7594655561,7.7399669977,7.8819712153,8.3174472569,8.5740575254,8.6321118538,8.8719584626,9.2647764152,9.797168825,10.647757352,10.3568614691,10.8688105492,11.0556401773,11.4185801165,11.5965694041,11.7618160013,11.8964706854,12.6910960306,12.5885375408,12.6617601998,12.3847792372,13.1973048738,14.0474810376,14.105611268,15.0052501992,15.4573901746,15.4932903074,14.6733242939,15.1962000678,15.2546583348,14.9343702572,15.6814378577,15.7339211985,16.4798529778,16.8052621741,16.2525622861,16.7962684247,17.0408019113,16.9586589932,16.9664942013,17.9714259622,18.0075885653,18.5152704668,17.1783558989,17.1972777302,16.7592017991,17.3928677632,17.4618399485,17.346237281,17.7739756016,17.8931283677,17.859905981,18.0163132682,18.0372685365,16.7523007806,16.7726604326,16.1820935346
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0517087546,,,,,,,,,,,,0.0752833914,0.0990402691,0.1061232526,0.1077797374,0.1018816418,0.1163174234,0.1168404789,0.1321226098,0.1367374259,0.1308028919,0.1353782069,0.1399095534,0.1351148617,0.1436701185,0.1194986072,0.162601626,0.1749402464,0.1866814241,0.1932459494,0.2311594203,0.286551289,0.3147649803,0.353035571,0.38791423,0.3351827389,0.418855042,0.4699382233,0.5488110679,0.5370465876,0.5985819238,0.5762438445,0.5894514768,0.5871459695,0.7020302879,0.799669558,0.7824267782,0.9050179211,1.0279126214,1.1751004016,1.7350406893,1.3957045491,1.4528138528,1.4974587536,1.481360671,1.3611046826,1.1674329502,1.2230593607,0.8158312543,1.1076819103,1.3595136869,1.4425427873,1.6305309735,2.2247552243,2.1749927599,2.3108049935,1.9537827076,1.6627906977,1.6965632858,1.5138802354,1.4917301489,1.8105055453,4.7894488295,2.0705449682,2.108880053,2.3192118227,2.2396667318,2.3337204801,2.1829751855,2.3330797033,2.2554528883,2.4092495637,2.418613274,2.7462969764,2.6300872093,3.1841931811,3.2270840745,3.5892018779,3.713945519,3.9733816258,4.1788479053,4.1985347985,4.6365868631,4.7031759183,4.209542548,4.1479017954,4.3266431171,4.4702797203,5.2793770647,6.5641385039,9.0957080442,6.442697201,8.7026509424,7.2085270155,7.4325798136,8.8179892616,7.1803310804,5.1037556627,1.1776312576,0.509064112,0.4965561667,0.4700415369,2.2522592306,2.975502255,2.8494178922,2.7190381578,3.0643096617,2.8873189507,2.8220505831,3.0405153757,3.1925334939,3.6303521409,2.8246060243,2.7020134228,2.2577942999,2.1110781698,2.0361932939,2.0608391264,2.0129229555,2.2607944732,0.8578903204,0.9534545819,1.0964454387,1.1834445268,1.2611430537,1.4132393263,1.3751341333,0.671422268,1.8244285714,2.5310572371,3.5232892467,3.830908829,3.0151852522,3.3599557681,3.1880726685,3.135775803,3.5363248171,4.1903711898,4.0596292921,4.1914076478,4.0238724577,3.9848069608,4.3759669086,4.4996173543,4.7585547872,5.157335495,5.3927453034,5.253795798,5.3680488369,5.4334178242,5.7266556145,6.0134412082,6.789261266,6.9555709587,7.4653864913,7.967406198,7.5926751244,7.1765759741,7.7052314313,7.420290758,7.5965170809,8.1504114774,6.9284319614,7.4394215157,7.1406533271,6.8887230205,7.2236289602,7.2352392622,7.1426061821,7.6119148173,7.0131054685,7.0893200702,7.9160285629,8.4974431457,7.7828081834,7.688675585,7.7395356363,7.7781743019,7.9164983348,8.0154184929,8.2195384045,7.9893689936,7.956563584,8.1744724542,8.3103851318,8.889629244,8.7788000803,9.0172375229,8.6494460996,8.3197118384,8.1831600175,7.4383534742,7.9692443473,7.6063915798,7.0959714745
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.746071397,6.527397132,5.5632952116,4.3113377407,4.0165823063,3.7664257509,3.9711715796,3.5543257101,3.6378590006,3.5120299212,3.5762196609,3.6545273677,3.7839924865,3.9980273024,4.5006816086,4.6958708744,5.1095382918,4.7013192591,4.9769351322,5.3264459037,5.4086271995
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6954278778,0.8251856668,0.9456438975,0.9675974794,0.9832153863,1.4481959616,1.5163057279,1.8409849269,1.8008987788,2.4934948837,3.7494559941,4.7461023467,5.9955405071,5.5573006649,8.1171299863,9.3981517841,7.4646408752,11.1713175603,10.2850827429,10.6252371705,15.1977657985,38.7174694464,36.4916305405,43.376127243,39.9173019398,43.7002523782,33.5139245319,49.3006579059,32.7949677543,33.6424098257,37.9376384932,13.009489311,10.2745532605,8.9596578447,8.0702105417,6.4406196752,5.906826953,5.8489149084,6.2245108302,7.7362906334,7.6159836748,6.8316433131,6.7466633554,6.284917061,6.1238469377,6.0155697098,5.8811018635,4.7490225161,5.779425109,5.6997791293,5.6049982474,5.2032563455,5.1558584395,4.8936012456,5.4754362609,5.0058763728,4.6955455576,4.7051287119,3.1319213213,4.8548184664,7.186250463,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1114872398,1.2149692241,5.2890051696,19.2250201219,31.7922179368,33.6606207175,30.5371067856,28.1997721231,26.8342316749,24.3981994912,25.4921150792,25.7923077392,27.7792881784,30.1879451727,35.1588791143,40.3580199044,40.271581441,11.9566596316,10.0718808831,10.7638395209,8.0819867857,8.1594727966,10.5334743464,7.6010048298,5.219526465,8.5743769626,8.4006365541,3.5573407488,10.5934357784,9.2361506108,6.7468156761,8.7919501227,6.5915038467,3.4026445206,5.1492056658,5.5233595906,6.1977063453,12.2350283339,13.8461211426,16.1281607559,23.1561467367,21.5597653876,21.6963342887,23.2930019428,24.7679558561,24.1366771199,23.8508612431,22.0333727235,22.9121088816,25.6332755753,20.8745598279,22.7429359063,24.4486071569,25.5567547494,25.6174043242,26.3149164258,24.5546501532,24.1101311784,22.7011522609,20.3760146958,28.4386689258,27.9708824092,28.6541852019,27.1692809707,29.2041745786,30.1077977937,28.7476167304,29.2095546854,21.6743708269,24.447490149,25.444864053,26.0633758088,26.4980884567,24.0268996767,24.1927207953,23.0900291631,20.6630083671,19.1784187315,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031022626,0.0032081935,0.0035411192,0.0050241521,0.0262254686,0.0313762498,0.0322332054,0.0319686491,0.0316518818,0.0317720606,0.0366340973,0.0367971592,0.0401345097,0.0378258759,0.0441810112,0.0444800024,0.0475418199,0.0531516417,0.0530902808,0.0540498178,0.0532611266,0.054676033,0.0607277426,0.0573070189,0.0569076889,0.0531881884,0.0512548237,0.0660638071,0.0669900936,0.068988152,0.0772985902,0.078625581,0.0791020028,0.0848536445,0.0947314273,0.0956883927,0.1009710807,0.0941613535,0.1015565591,0.1108936679,0.1208746605,0.1217464139,0.1353623062,0.1310166229,0.1475639979,0.1479000188,0.1610031963,0.1545172497,0.1648516343,0.1941832656,0.2003496267,0.2048017008,0.1926711102,0.1983573599,0.2150333935,0.2459643733,0.2510232863,0.2481782777,0.2867033966,0.2670950164,0.3381183649,0.3366449633,0.319161002,0.3558680659,0.377610209,0.4012681713,0.4260031517
